id,child,trial,age,year_group,competition_order,age_group,country,gender,cost,competition,relation,fairness,allocation,justification
U4067,171,1,65,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4068,172,1,68,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4069,173,1,69,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4070,174,1,69,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFdis,Desire
U4071,175,1,70,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4072,176,1,71,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4073,177,1,72,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4074,178,1,74,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4075,179,1,75,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4076,180,1,65,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFdis,Desire
U4077,181,1,66,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4078,182,1,66,Senior,competition first,Older,UK,Female,Cost,Competition,Friend,Fair,UFad,Norm
U4079,183,1,68,Senior,competition first,Older,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4080,184,1,70,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4081,185,1,76,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4082,186,1,76,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Fair,UFdis,Norm
U4083,187,1,69,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4084,188,1,68,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4085,189,1,66,Senior,control first,Older,UK,Female,Cost,Competition,Friend,Fair,Fair,Norm
U4086,190,1,68,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4087,191,1,72,Senior,control first,Older,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4088,192,1,72,Senior,control first,Older,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4089,193,1,60,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4090,194,1,52,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,Fair,Norm
U4091,195,1,56,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFad,Norm
U4092,196,1,59,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Fair,UFdis,Norm
U4093,197,1,59,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
